Office,Markthalleneun,Burgermeister,Angry Chicken,Pacifico Berlin,Rosengarten am Engelbecken,BRGRS BRGRS - Organic Burgers,EastBurger,Captain burger 36,Windburger,Wurstpate,Tommis Burger,Shiso Burger,rembrandt-burger,Revolver Burger,Josper's Burger,5 Places Burger House,BurgerVision,Burger Now,Burgers Berlin
0,1.3,1.2,1.2,1.5,0.7,0.6,1.2,1.2,1.6,0.17,3.7,3.2,2.7,2.8,2.7,3.0,3.0,7.1,6.1
1.3,0,1.3,0.85,1.8,1.3,1.9,1.7,0.8,0.7,1.4,4.9,4.4,3.3,4.0,2.0,2.4,4.2,7.8,6.1
1.2,1.3,0,0.45,0.9,1.0,1.6,2.1,0.45,0.6,1.4,4.6,4.0,3.6,3.5,3.0,3.3,4.0,6.7,5.0
1.2,0.85,0.45,0,1.0,1.1,1.7,1.7,0.036,0.35,1.4,4.6,4.0,3.3,3.6,2.6,3.0,4.1,7.1,5.4
1.5,1.8,0.9,1.0,0,0.9,1.1,2.5,1.0,1.3,1.4,4.0,3.3,4.0,2.9,3.6,3.9,3.5,6.3,4.8
0.7,1.3,1.0,1.1,0.9,0,0.75,1.8,1.0,1.4,0.5,3.7,3.1,3.1,2.7,3.2,3.6,3.1,6.9,5.5
0.6,1.9,1.6,1.7,1.1,0.75,0,1.8,1.7,2.0,0.4,3.1,2.6,3.0,2.2,3.3,3.5,2.4,6.7,5.6
1.2,1.7,2.1,1.7,2.5,1.8,1.8,0,1.7,2.0,1.3,4.1,3.5,1.7,3.2,1.6,1.9,3.2,8.2,7.0
1.2,0.8,0.45,0.036,1.0,1.0,1.7,1.7,0,0.35,1.4,4.7,4.0,3.2,3.6,2.6,3.0,4.1,7.1,5.4
1.6,0.7,0.6,0.35,1.3,1.4,2.0,2.0,0.35,0,1.7,5.0,4.3,3.6,3.9,2.4,2.8,4.4,7.2,5.5
0.17,1.4,1.4,1.4,1.4,0.5,0.4,1.3,1.4,1.7,0,3.6,3.0,2.6,2.6,2.9,3.1,2.8,7.0,4.0
3.7,4.9,4.6,4.6,4.0,3.7,3.1,4.1,4.7,5.0,3.6,0,0.75,4.2,1.1,5.0,5.3,1.1,6.4,6.1
3.2,4.4,4.0,4.0,3.3,3.1,2.6,3.5,4.0,4.3,3.0,0.75,0,3.8,0.55,4.4,4.7,0.9,6.3,7.4
2.7,3.3,3.6,3.3,4.0,3.1,3.0,1.7,3.2,3.6,2.6,4.2,3.8,0,3.5,1.5,1.8,3.2,3.5,10.6
2.8,4.0,3.5,3.6,2.9,2.7,2.2,3.2,3.6,3.9,2.6,1.1,0.55,3.5,0,4.1,4.4,0.8,6.4,5.8
2.7,2.0,3.0,2.6,3.6,3.2,3.3,1.6,2.6,2.4,2.9,5.0,4.4,1.5,4.1,0,0.5,4.1,9.5,7.8
3.0,2.4,3.3,3.0,3.9,3.6,3.5,1.9,3.0,2.8,3.1,5.3,4.7,1.8,4.4,0.5,0,4.4,9.8,8.2
3.0,4.2,4.0,4.1,3.5,3.1,2.4,3.2,4.1,4.4,2.8,1.1,0.9,3.2,0.8,4.1,4.4,0,7.1,6.5
7.1,7.8,6.7,7.1,6.3,6.9,6.7,8.2,7.1,7.2,7.0,6.4,6.3,3.5,6.4,9.5,9.8,7.1,0,2.7
6.1,6.1,5.0,5.4,4.8,5.5,5.6,7.0,5.4,5.5,4.0,6.1,7.4,10.6,5.8,7.8,8.2,6.5,2.7,0
